NIC;TEX;HOU;FUE;FOO;ALC;TOB;CLO;DUR;TRA;SER;OGM;AGE;OCC;ECP;NOP;NGW
66.559;86.267;4.013;2.298;18.372;11.32;0;28.74;3.884;13.329;1.566;2.745;21;6;2;2;96.52
54.231;23.792;4.894;2.55;3.093;8.93;2.465;0;0;0;.982;.878;31;8;10;1;58
43.336;28.04;4.29;1.203;9.162;4.935;3.453;1.945;0;1.2;.819;1.033;77;7;3;2;38.48
36.657;29.004;5.427;1.75;6.712;2.455;5.95;.85;0;2.38;1.769;1.711;64;6;2;1;53.92
19.83;21.13;5.327;3.7;6.92;0;2.17;0;.89;0;.983;1.14;83;11;8;1;0
130.976;91.349;7.26;3.139;35.554;4.5;3.024;21.164;.077;6.54;3.098;6.993;42;6;2;8;160.037
33.67;36.318;8.335;2.6;16.585;1.875;0;.225;.5;0;3.825;2.373;75;10;6;3;0
29;24.525;6.654;2.2;8.378;1.8;2.631;.125;.31;0;.817;1.61;66;10;6;2;0
91.35;52.12;7.008;2.048;18.702;0;0;2.578;4.296;11.149;.346;5.993;42;1;2;4;114.215
57.572;40.743;2.08;1.052;7.102;15.563;1.686;0;4.676;3.52;3.774;1.29;52;6;2;2;88.3
81.143;63.639;6.418;2.205;14.415;1.87;5.663;9.145;2.89;11.484;3.572;5.977;46;4;2;3;92.404
44.763;31.887;6.158;3.1;7.312;0;0;0;1.223;5.456;7.202;1.436;20;6;2;2;32.51
49.269;37.919;4.77;.626;2.397;13.205;7;0;.077;8.88;.504;.46;54;6;2;1;66.34
78.983;57.68;2.83;1.135;12.786;4.36;.49;4.288;5.955;20.893;1.298;3.645;23;6;2;2;107.043
32.265;22.189;1.63;1.085;10.788;2.469;2.05;1.25;.995;0;.354;1.568;75;10;6;2;0
53.903;52.406;3.688;1.608;18.351;5.985;7.144;1.32;1.526;3.28;4.018;5.486;26;6;2;4;72.08
39.057;36.957;6.009;2.135;12.214;3.63;4.058;0;.593;2.146;3.734;2.438;64;6;2;2;61.84
18.81;11.415;3.64;3.231;3.49;0;0;0;0;0;.529;.525;79;10;6;1;0
26.474;25.751;1.5;6.171;8.211;.15;.8;.15;4.613;0;1.051;3.105;75;10;6;2;0
75.595;57.842;5.682;2.08;22.427;9.48;5.035;.85;1.376;3.295;2.92;4.697;38;8;2;4;110
112.683;181.013;16.713;4.502;26.341;10.35;1.95;13.04;3.347;46.22;50.822;7.728;53;2;2;3;145.117
98.942;105.577;10.285;1.3;22.612;3.05;0;24.385;1.018;9.328;29.341;4.258;37;1;1;5;0
110.705;979.417;9.039;19.053;10.428;6.94;.248;900.115;2.434;25.641;3.214;2.305;61;2;2;3;140.43
34.524;38.928;7.65;2.283;10.082;.57;0;9.52;.577;2.853;1.122;4.271;74;10;6;2;0
51.514;34.999;6.115;2.975;7.79;12.225;0;0;0;3.285;1.576;1.033;20;6;4;1;67.285
18.74;13.647;4.481;2.174;3.94;0;1.92;0;.12;0;.719;.293;73;10;6;1;0
110.532;81.493;6.308;1.46;26.602;2;7.32;4.56;15.391;6.537;.638;10.677;54;6;10;6;32.83
57.157;46.768;4.412;5.239;16.31;4.448;6.918;.765;1.362;2.46;2.403;2.451;35;8;2;4;52.53
94.074;83.995;14.144;3.81;15.8;.52;6.268;26.585;1.68;4.14;5.468;5.58;55;1;2;2;126.327
99.721;111.432;5.638;15.121;27.428;3.965;7.911;.735;26.824;10.345;.586;12.879;46;2;2;3;130.038
60.399;39.603;6.26;5;11.907;3.82;5.389;.15;2.782;.88;2.026;1.389;32;6;4;5;68.73
28.52;49.624;6.231;3.235;15.34;10.273;4.839;2.025;3.925;.345;1.914;1.497;57;11;9;2;61.26
273.708;101.455;6.21;8.332;19.254;.06;0;3.443;15.362;32.174;13.745;2.875;49;7;2;6;82.66
75.068;68.653;5.779;7.195;23.715;5.54;3.598;6.021;3.13;5.6;5.652;2.423;62;6;4;3;87.6
15.592;15.762;1.11;3.512;5.379;.53;0;.655;.864;.615;1.584;1.513;79;11;8;1;0
91.69;154.928;4.619;2.409;14.603;.26;0;.11;126.147;3.291;1.278;2.211;31;2;1;2;18.686
30.121;24.504;4.523;.862;9.344;0;2.8;2.995;.096;.44;1.074;2.37;63;11;9;2;0
74.76;54.204;8.447;3.094;15.601;.83;0;4.485;6.134;7.655;3.502;4.456;40;6;2;4;87.895
66.559;73.379;10.133;3.253;13.116;0;0;10.97;.233;7.577;26.515;1.582;32;1;2;4;75.275
138.99;78.893;14.288;3.923;19.884;0;0;3.08;2.192;16.312;11.384;7.83;43;3;3;6;160.673
54.55;38.579;9.42;3.174;8.125;.51;2.64;0;5.259;6.143;1.432;1.876;41;1;2;1;68.238
80.254;56.015;11.244;2.317;11.886;0;0;8.02;3.439;2.787;10.226;6.096;36;4;2;4;85.098
56.697;67.595;17.224;3.51;13.221;1.445;0;7.495;.23;13.053;4.709;6.708;31;2;2;4;62.29
104.059;59.946;10.775;2.602;22.096;.37;7.542;1.266;0;7.469;2.771;5.055;44;1;2;5;123.84
55.663;34.557;9.996;3.923;10.539;0;0;.36;.072;0;7.914;1.753;72;10;6;2;0
53.07;43.424;6.615;1.296;17.483;4.345;2.751;4.818;.5;2.105;2.361;1.15;34;6;2;4;71.21
18.38;23.58;2.077;1.441;6.986;0;0;.38;9.629;.6;1.529;.938;63;7;3;1;5
102.049;71.79;11.501;3.351;15.009;1.795;0;4.433;.69;28.81;4.116;2.085;60;2;2;2;137.499
81.784;76.864;20.46;6.205;14;1.59;0;2.425;6.412;6.614;3.698;15.46;30;7;2;4;92.258
127.989;151.593;9.372;7.7;42.598;13.625;0;15.35;.645;21.346;18.052;22.905;43;2;2;5;155.027
49.57;38.116;4.23;3.538;13.292;0;6.522;1.25;1.325;.44;4.181;3.338;44;6;2;5;59.66
50.309;42.545;3.314;3.668;17.151;1.095;.316;8.64;.038;.36;4.658;3.305;49;6;2;3;66.89
38.541;29.132;4.345;6.568;8.324;1.865;1.12;1.125;0;.445;3.155;2.185;49;7;2;2;27.16
18.474;17.38;5.335;1.977;3.263;2.1;2.436;0;.1;.466;1.088;.615;63;10;7;1;0
111.356;58.906;9.378;5.677;13.645;10.695;6;5.785;.15;1.095;4.943;1.538;50;4;2;3;159.99
21.204;13.095;4.523;3.102;3.058;0;.355;0;0;0;1.529;.528;80;11;8;1;0
70.309;36.021;2.948;1.641;10.698;2.415;.943;1.638;3.778;5.112;3.528;3.32;25;7;2;2;94.508
64.693;57.689;5.011;3.107;13.313;0;0;28.44;.135;.06;3.471;4.152;56;2;2;2;86.296
