NIC;TEX;HOU;FUE;FOO;ALC;TOB;CLO;DUR;TRA;SER;OGM;AGE;OCC;ECP;NOP;NGW
76.956;65.965;6.27;6.873;27.131;3.25;3.218;6.616;0;10.072;1.25;1.285;31;6;2;7;69.3
90.39;69.179;5.805;7.817;23.726;0;4.29;3.75;.096;17.715;4.384;1.596;47;7;2;5;81.7
19.78;11.042;4.27;2.587;2.81;0;.4;0;0;0;.575;.4;77;10;6;1;0
33.983;78.569;9.809;7.366;19.667;.35;2.19;15.07;4.23;1.062;6.561;12.264;40;11;9;3;0
20.38;14.904;6.03;4.341;3.419;0;0;0;0;0;.804;.31;69;10;6;1;0
49.333;35.808;5.81;2.261;12.688;4.575;0;1.155;0;2.984;4.191;2.144;25;6;2;4;59.51
15.45;14.898;5.19;1;5.9;0;.901;.65;0;.23;.514;.513;52;8;10;1;0
15.588;10.063;.32;1.058;6.273;0;0;.06;.662;0;.627;1.063;82;11;8;1;0
61.437;47.501;8.326;2.077;12.768;0;0;6.039;4.444;7.004;4.392;2.451;27;1;2;4;69.23
36.65;33.846;5.23;1.153;8.259;5.185;3.9;5.55;0;2.78;.496;1.293;47;8;2;1;55.65
33.06;23.51;5.26;.832;10.884;1.493;1.86;.2;.08;.14;1.168;1.593;76;11;8;2;0
72.401;65.733;8.43;6.992;17.72;0;2.535;4.135;4.028;7.959;6.006;7.928;58;4;4;2;96.916
109.709;108.656;7.91;3.587;36.744;13.683;2.818;16.212;7.905;5.179;7.192;7.426;43;7;2;5;142.42
75.99;55.361;8.046;4.409;19.172;.5;1.784;1.465;2.385;11.26;3.246;3.094;30;6;2;4;86.88
57.425;46.85;7.91;2.529;15.834;1.865;5.095;6.8;2.234;.294;2.563;1.726;36;2;2;4;46.153
35.503;24.944;6.91;1.654;8.289;1.08;2.504;0;.24;.715;2.542;1.01;74;11;8;2;0
78.459;81.253;3.241;7.098;9.721;1.75;3.142;4.51;31.643;15.581;2.094;2.473;35;6;2;2;104.879
58.076;42.749;2.185;4.413;13.667;11.251;2.352;.501;2.593;2.935;.35;2.502;21;7;2;2;75.33
43.007;48.05;2.761;8.456;22.907;.56;0;2.856;1.69;2.37;1.296;5.154;28;6;2;4;51.396
79.71;53.012;2.657;3.882;15.723;1.435;4.308;16.635;.115;0;2.134;6.123;42;2;4;2;104.828
44.231;40.196;4.316;3.159;13.13;3.25;3.404;2.009;4.678;.48;2.234;3.536;53;7;2;2;44.283
27;22.446;6.02;7.29;7.147;0;0;0;0;.12;.704;1.165;67;11;8;2;0
19.23;18.381;6.563;3.345;6.188;0;0;0;.058;.15;.654;1.423;60;11;8;1;0
80.17;73.985;5.215;6.082;30.289;5.655;5.986;.8;6.069;5.805;3.521;4.563;57;6;2;3;99
45.378;39.131;9.5;4.615;10.119;1.413;4.39;2.286;.734;1.011;1.576;3.487;29;1;2;3;51.625
68.188;44.085;9.717;4.181;6.777;1.32;0;5.317;.296;11.245;3.622;1.61;32;3;3;3;75.001
85.312;72.866;13.521;4.887;20.481;0;0;6.173;4.14;13.069;5.644;4.951;38;1;2;5;103.27
17.783;14.399;2.445;2.244;6.107;0;0;.655;.038;.93;1.575;.405;66;10;6;1;0
106.651;82.83;6.93;3.087;20.21;9.422;0;4.525;6.782;23.642;4.076;4.156;44;4;2;4;138.128
101.509;53.592;12.776;3.923;19.389;7.68;1.465;0;3.551;.669;1.669;2.47;31;2;2;2;127.811
16.24;10.358;1.19;3.745;2.385;.2;.939;0;.08;0;.849;.97;94;10;6;1;0
52.095;41.469;6.174;1.796;11.406;5.22;0;0;.665;11.278;3.319;1.611;57;8;2;2;47.95
72.503;59.407;4.655;1.121;21.043;4.165;5.986;7.575;.058;8.74;2.185;3.879;54;7;2;5;74.956
21.868;23.323;3.424;3.65;7.478;.63;2.095;.67;.178;1.08;2.074;2.044;56;5;3;1;8.25
74.137;64.91;1.5;.866;12.351;14.146;2.54;8.396;3.456;8.908;5.258;7.489;25;6;2;2;118.498
68.589;80.103;4.359;7.865;22.167;0;8.12;10.087;10.451;11.589;3.168;2.297;39;7;2;5;73.785
44.952;29.192;3.828;3.078;11.601;0;1.623;.143;.277;3.642;3.28;1.72;88;10;6;3;0
79.652;60.08;4.763;3.586;17.787;3.51;2.195;2.613;9.247;12.287;1.108;2.984;57;6;2;3;97.62
98.871;66.978;5.104;3.709;18.365;19.31;2.73;4.626;8.595;.3;2.246;1.993;56;1;2;3;93.173
88.184;41.92;5.127;6.545;13.109;3.94;3.465;.22;4.004;.019;2.993;2.498;55;2;2;2;101.346
35.611;18.158;6.095;.905;4.191;0;0;0;.029;5.927;.431;.58;77;10;6;2;0
103.25;117.857;6.081;5.787;17.06;3.613;1.345;5.885;2.822;68.704;3.641;2.919;54;4;2;3;129.652
98.904;100.3;4.276;4.14;33.463;7.728;4.365;12.705;4.263;12.129;7.4;9.831;48;8;10;7;68.604
16.26;15.588;2.374;1.256;7.903;0;0;0;.375;.36;1.777;1.543;74;11;8;1;0
33.698;16.179;4.752;.3;0;0;3.402;0;.029;7.542;.154;0;54;7;2;1;41.78
51.881;40.805;5.44;4.752;13.113;2;4.817;.32;.144;7.06;.771;2.388;36;6;2;6;65.59
78.249;60.871;5.371;4.686;22.033;9.885;1.615;3.455;.143;7.253;4.313;2.117;46;7;2;4;105.052
128.894;91.551;17.382;8.235;32.07;.525;0;6.81;2.44;4.807;14.825;4.457;52;4;2;4;161.804
98.503;119.1;3.441;6.395;21.327;13.1;7.41;2.375;.3;29.665;24.252;10.835;50;2;2;2;126.865
63.226;146.222;8.524;1.679;9.344;.5;3.13;1.56;93.42;19.741;3.268;5.056;54;6;2;2;71.16
15.583;12.844;1.592;4.912;3.176;0;0;0;.12;.68;1.726;.638;75;10;6;1;0
149.251;136.991;18.038;7.915;23.877;15.44;8.237;9.94;22.738;19.817;4.174;6.815;51;6;2;6;202.16
37.54;34.487;5.141;3.174;9.258;0;0;.805;.221;11.315;3.158;1.415;60;7;2;2;50.45
56.904;65.071;5.167;2.895;12.437;5.5;0;5.125;0;14.051;4.712;15.184;31;6;2;5;76.04
109.623;114.496;4.215;1.251;17.177;0;5.3;.3;55.937;20.617;5.233;4.466;66;1;1;3;89.193
62.888;41.48;7.854;3.361;8.727;.74;0;2.355;3.565;11.269;1.55;2.059;29;6;2;4;84.88
16.93;14.031;2.965;5.881;2.889;0;0;0;.072;0;1.719;.505;84;11;8;1;0
37.729;29.919;1.586;4.258;13.964;.75;1.33;1.225;.223;3.501;.673;2.409;69;2;1;2;0
120.684;130.987;27.389;3.054;22.748;6.66;5.482;11.98;29.441;8.282;5.887;10.064;37;2;2;2;82.645
22.067;16.548;2.955;1.687;4.506;0;1.525;0;.096;4.591;.154;1.034;28;7;2;2;24.588
42.872;42.966;3.55;5.153;14.575;3.88;2.885;0;2.096;3.247;4.964;2.616;32;6;2;5;62.08
18.362;16.297;4.2;4.047;3.52;0;0;2.5;.638;0;.154;1.238;71;11;8;1;0
35.184;42.629;12.756;2.717;10.22;0;0;1.85;8.117;0;3.86;3.109;66;2;2;1;16.5
178.677;45.125;5.26;2.008;18.754;.39;0;.955;6.217;4.447;3.823;3.271;70;10;6;3;0
74.474;43.31;8.533;3.002;11.112;0;1.278;1.02;.481;6.744;2.427;8.713;63;1;1;2;44.24
74.281;29.921;1.229;1.511;6.803;0;0;0;.263;18.793;.717;.605;49;2;1;2;11.538
62.968;45.138;2.093;3.334;16.33;8.582;0;1.088;1.422;1.125;3.561;7.603;36;7;2;5;72.72
22.97;15.495;3.54;2.496;6.273;0;0;.6;.114;.165;1.547;.76;66;10;6;1;0
42.35;31.871;6.97;3.283;12.609;0;0;2.45;1.475;.69;2.514;1.88;61;11;8;3;25.39
44;26.237;5.77;3.249;10.493;.346;2.015;.585;0;1.85;.654;1.275;60;11;9;2;0
50.977;43.159;8.74;2.759;19.037;.11;5.162;.75;1.894;.1;2.266;2.341;36;7;2;6;62.62
54.3;12.596;4.86;2.111;4.466;0;0;0;0;.1;.899;.16;42;6;4;1;55.18
38.69;28.284;6.26;4.8;5.527;3;1;3.665;0;.3;1.504;2.228;47;6;2;1;47.24
32.07;25.827;6.192;1.323;6.711;0;2.49;2.76;.225;2.225;1.129;2.772;57;8;3;1;21.24
130.912;20.349;6.753;3.023;3.43;0;0;0;1.336;1.696;3.801;.31;44;7;2;6;157.83
114.66;28.283;2.375;3.429;11.656;.77;4.685;.575;.708;.605;2.09;1.39;24;6;2;3;157.65
93.085;80.827;5.663;6.246;31.877;15.085;3.22;6.745;1;8.232;.559;2.2;42;6;2;7;127.53
88.915;64.333;5.55;5.538;17.617;11.522;8.886;2.875;.14;7.614;2.754;1.837;47;6;10;4;75.67
20.714;17.691;3.125;1.872;6.575;.645;0;.52;.26;.3;2.079;2.315;60;10;6;1;0
65.669;56.127;8.068;2.91;15.892;4.461;1.594;3.095;2.475;5.047;9.81;2.775;23;7;2;2;72.71
60.867;43.614;4.058;2.844;14.292;5.015;4.266;.62;0;1.726;8.371;2.422;31;6;2;3;79.11
43.62;39.538;2.9;1.647;13.892;0;5.145;5.47;.482;1.754;4.492;3.756;52;11;9;2;33
72.729;52.836;6.56;2.051;15.23;1.485;0;10.811;6.043;7.301;1.984;1.371;36;6;1;2;20.44
48.916;47.81;6.869;3.287;13.463;1.9;0;9.5;4.166;2.548;4.355;1.722;29;4;2;3;55.696
83.995;53.201;7.093;1.495;19.443;6.237;8.77;.24;3.529;1.454;2.924;2.016;53;4;2;2;105.807
43.665;51.294;7.624;3.088;14.789;1.825;2.92;3.488;9.297;5.207;1.559;1.497;22;1;2;3;49.466
73.316;62.65;8.371;1.269;19.894;1.52;.2;0;6.901;13.52;5.518;5.457;35;6;2;4;117.286
18.438;15.917;6.805;1.225;3.63;0;0;0;.132;2.193;1.517;.415;72;10;6;1;0
22.12;19.942;7.432;3.95;3.656;0;0;.2;.06;.325;1.723;2.596;61;10;6;1;0
62.01;44.584;5.69;2.18;16.104;1.03;5.251;3.42;3.584;1.25;3.311;2.764;35;6;2;4;47.56
38.212;23.605;6.102;2.318;8.569;0;0;.125;1.465;.27;2.63;2.126;75;6;3;2;13.85
78.88;72.92;12.91;3.481;20.696;10.203;4.868;4.04;6.335;1.595;4.274;4.518;33;6;2;4;100.27
128.009;85.394;9.341;5.854;23.3;1.185;.85;6.89;.111;28.397;7.436;2.03;57;1;2;3;167.318
16.035;72.2;7.481;2.827;13.304;3.783;4.83;6.093;2.136;24.142;1.246;6.358;28;6;3;4;40.715
83.662;81.932;7.579;3.462;25.255;10.85;.15;16.25;0;16.202;2.009;.175;34;6;2;1;106.58
79.074;156.048;13.71;4.539;24.019;5.925;4.106;8.095;66.898;2.034;10.652;16.07;55;7;2;2;105.724
80.473;51.669;4.437;.744;13.436;3.105;0;1.17;0;26.196;1.541;1.04;77;11;8;3;73.67
30.301;32.14;3.829;3.474;11.847;0;0;0;.754;0;5.829;6.407;67;10;6;2;0
58.613;55.069;6.23;2.502;12.89;6.9;7.596;0;.08;6.086;9.821;2.964;63;7;10;2;51.88
53.173;33.672;5.135;2.001;10.643;4.82;0;5.25;1.354;.93;1.937;1.602;78;11;8;2;48.41
51.727;49.211;11.803;5.013;11.744;0;0;0;10.045;5.656;2.235;2.715;62;6;4;2;61.155
21.558;19.371;5.55;3.589;5.763;0;0;1.13;0;.48;1.721;1.138;61;7;3;1;2.308
73.274;64.568;6.377;4.599;11.79;1.355;2.4;.45;1.583;26.718;3.668;5.628;61;6;2;2;94
49.795;59.177;7.698;4.204;18.1;2.85;0;2.573;3.269;16.223;.801;3.459;31;6;2;4;66.94
46.026;29.902;7.075;4.952;8.913;0;0;0;.138;0;1.595;7.229;74;10;6;2;0
50.254;39.675;8.25;2.093;12.628;.88;0;.125;.571;10.842;3.236;1.05;62;11;8;2;48.634
66.966;64.936;7.594;2.064;13.516;2.86;1.285;4.413;.571;20.793;6.762;5.078;30;6;2;3;94.72
34.31;44.927;5.86;6.126;18.547;.84;4.328;.075;5.403;.44;1.492;1.816;53;11;9;3;3.75
49.51;42.569;6.649;3.162;14.619;1.26;0;2.169;.797;10.391;1.841;1.681;27;6;2;4;56.45
47.746;65.791;13.688;4.014;13.877;0;0;5.495;21.083;2.802;1.562;3.27;36;6;2;3;61.85
75.563;52.584;12.186;5.218;20.253;.82;0;1.885;1.352;5.922;2.812;2.136;35;2;1;4;0
89.756;47.366;9.232;1.188;10.937;.82;0;.75;3.765;2.905;14.241;3.528;61;7;2;2;109.816
66.151;72.218;6.46;7.215;19.256;3.575;0;2.885;1.722;13.036;13.769;4.3;29;1;2;4;83.32
16.039;27.386;2.075;.699;3.868;0;0;.34;19.025;.45;.814;.115;71;10;6;1;0
15.318;11.751;1.497;1.292;5.198;0;0;.875;1.56;.13;.729;.47;78;10;6;1;0
40.498;28.844;3.77;1.908;9.712;0;1.735;0;3.45;1.992;3.692;2.585;53;4;2;2;51.029
44.221;53.374;6.73;5.053;12.908;6.705;5.348;8.537;.39;2.089;1.91;3.704;23;4;10;2;27.74
66.953;40.156;7.283;3.066;11.426;2.65;3.846;1.98;.858;4.84;2.578;1.629;31;6;2;4;78.79
23.26;18.831;1.72;1.521;8.047;.98;.96;0;0;1.24;2.124;2.239;71;10;6;2;0
71.672;38.535;8.027;2.143;11.529;0;0;.634;2.344;6.996;5.904;.958;44;6;2;4;80.078
17.77;11.931;4.07;1.202;3.866;1.19;0;0;.029;.04;1.144;.39;69;10;6;1;0
19.06;20.571;4.81;1.654;5.987;.495;0;3.99;.245;.48;1.539;1.371;75;10;6;1;0
52.725;68.546;34.691;3.396;12.903;4.015;2.495;3.39;.104;2.599;2.538;2.415;27;6;2;4;62.415
80.573;97.765;4.74;4.043;23.85;8.985;7.781;10.159;.112;25.174;6.476;6.445;43;6;2;3;109.748
68.66;52.82;5.82;5.379;13.677;6.93;2.212;3.417;2.788;4.66;4.293;3.644;47;7;3;3;87.81
111.374;43.452;6.282;2.646;13.697;4.07;0;.5;.202;8.649;2.106;5.3;58;6;2;3;146.125
54.221;41.755;5.985;2.898;12.712;2.755;3.39;4.995;.68;.48;5.012;2.848;73;10;6;2;0
92.053;130.815;7.302;2.812;15.618;0;0;9.675;1.946;38.491;10.143;44.828;63;2;10;2;114.783
48.663;38.722;7.423;3.127;9.605;0;0;6.59;.077;4.66;3.327;3.913;49;6;2;2;59.43
57.337;59.598;7.34;5;17.85;4.248;0;6.545;.932;9.805;2.913;4.965;43;7;2;5;66.937
70.148;65.311;7.34;5;16.746;9.455;5.333;6.965;1.76;6.97;4.035;1.707;53;7;2;2;94.21
36.168;51.454;4.4;2.95;8.487;3.124;4.848;7.5;1.337;8.571;5.67;4.567;30;6;10;2;14.822
56.68;49.66;6.41;4.554;12.857;7.32;5.875;4.57;1.03;1.36;3.316;2.368;39;6;2;3;69.7
81.872;71.986;7.856;3.681;11.768;1.095;0;20.39;.077;22.794;2.362;1.963;32;6;2;2;95.88
38.199;32.513;7.567;2.523;2.726;0;0;0;.192;.47;2.315;16.72;57;11;9;1;0
61.231;60.728;7.11;5.122;18.669;2.975;0;8.57;1.482;4.335;4.476;7.989;45;6;2;4;70.8
20.29;18.235;6.44;2.5;4.613;1.27;1.168;.105;0;1.24;.724;.175;67;11;8;1;0
57.858;42.608;2.42;2.222;10.092;0;6.317;0;12.115;3.322;2.803;3.317;55;7;2;2;82.64
62.355;33.451;6.295;2.112;12.193;0;0;.2;.527;6.005;3.541;2.578;46;6;2;3;57.227
99.968;96.63;4.634;2.777;23.57;3.455;1.779;21.69;2.837;28.669;3.887;3.332;44;7;2;6;95.63
20.36;14.133;6.1;3;3.309;0;0;0;.129;0;.25;1.345;76;10;6;1;0
17.268;10.704;2.796;1.359;4.857;0;0;0;.038;0;1.204;.45;83;11;8;1;0
67.95;77.205;2.87;2.112;14.058;9.725;7.59;18.435;4.935;3.49;3.731;10.259;56;6;2;2;90.52
85.926;74.218;10.883;4.334;17.965;.625;7.822;1.925;3.283;11.546;4.39;11.445;35;1;2;4;106.538
74.661;38.653;2.995;4.325;13.969;.655;1.32;2.993;2.56;2.944;4.771;2.121;25;1;2;2;99.48
47.548;39.29;3.36;3.571;12.625;5.835;2.42;1.375;.2;2.76;3.349;3.795;56;8;2;2;56.076
40.287;35.958;1.936;5.37;12.16;1.75;.682;.593;1.766;3.24;.578;7.883;22;6;2;2;50.5
76.604;56.788;2.551;2.278;14.135;2.88;0;1;20.308;3.442;4.701;5.493;59;6;2;3;104.84
34.73;45.159;.55;2.305;13.666;6.885;5.994;3.005;3.323;2.15;3.027;4.254;33;7;10;5;33.48
77.538;49.104;9.202;.864;16.015;5.645;7.235;.815;.19;1.008;4.614;3.516;30;1;1;2;68.368
160.713;119.512;16.718;2.849;22.143;1.315;.9;6.475;.456;40.253;20.667;7.736;45;3;3;4;186.141
50.956;78.519;4.55;2.005;15.126;0;3.962;4.245;3.115;40.823;2.77;1.923;60;6;4;2;67.663
63.529;53.869;7.452;2.718;13.32;.101;0;1.887;1.246;18.912;3.152;5.081;52;6;2;4;65.977
84.777;54.515;3.9;5.121;14.613;6.225;2.378;1.87;2.85;3.051;9.434;5.073;51;7;3;3;105.587
63.868;55.721;2.807;3.048;11.676;12.058;2.041;14.495;1.091;.9;5.177;2.428;28;6;2;2;86.85
78.672;92.167;4.315;5.092;24.115;.725;1.58;11.756;6.154;22.391;4.146;11.893;52;6;2;3;120.28
101.819;67.952;10.755;1.379;23.63;1.71;.19;.475;.808;12.196;11.104;5.705;45;3;2;4;106.154
141.634;107.251;2.336;6.112;26.308;15.285;19.987;3.48;2.5;11.319;14.831;5.093;51;7;2;6;140.51
37.917;57.05;1.758;4.416;15.416;2.415;7.413;11.735;3.4;3.53;2.366;4.601;33;6;4;4;45.34
26.01;26.362;4.034;2.978;8.622;2.625;1.565;.45;.096;1.059;2.168;2.765;65;10;6;2;0
37.558;69.432;4.651;1.706;11.712;4.23;1.975;0;41.308;.395;1.484;1.971;75;10;6;2;0
57.283;64.652;5.508;3.274;20.039;4.983;5.875;13.285;2.277;1.725;2.79;4.896;31;6;2;4;75.94
88.284;40.222;8.842;3.292;6.356;4.93;7.743;4.725;.415;.144;2.472;1.303;62;2;2;2;117.618
83.991;95.593;1.73;1.215;14.382;4.905;1.02;2.971;.029;62.837;2.435;4.069;65;10;6;3;70.846
39.99;35.584;1.546;1.376;16.999;1.74;3.347;2.205;1.528;2.32;1.362;3.161;27;6;2;4;53.6
35.958;27.172;2.102;1.745;10.171;0;0;0;.048;8.593;1.687;2.826;71;8;3;2;16.25
21.91;23.549;2.243;1.415;9.496;1.735;1.268;2.75;1.75;.22;1.726;.946;70;10;6;2;0
58.763;58.253;7.417;3.26;14.623;2.525;.21;6.67;.267;16.418;4.678;2.185;36;4;2;4;65.17
13.3;15.563;5.08;1.717;5.09;0;0;0;.065;.51;2.053;1.048;73;10;6;1;0
97.78;68.351;6.473;3.679;15.397;1.1;0;12.705;1.253;16.684;4.95;6.11;27;6;2;3;136.26
74.156;63.006;3.46;3.195;21.427;3.365;6.406;9.51;1.494;2.995;3.895;7.259;48;7;2;7;79.9
126.471;110.41;5.851;2.339;31.639;10.995;0;13.025;2.443;29.035;8.086;6.997;49;6;2;4;168.895
22.177;15.619;1.025;.914;5.71;1.95;0;.27;.024;1.88;1.439;2.407;59;7;2;1;32.26
12.13;17.195;1.118;3.55;5.94;0;2.805;.1;.769;.06;.307;2.546;45;7;10;1;0
50.234;42.238;2.875;2.021;18.669;4.07;0;4.51;.282;2.749;3.647;3.415;26;6;2;4;67.47
62.24;103.641;6.204;1.467;9.22;4.185;0;0;75.968;3.309;1.808;1.48;26;1;2;1;91.082
63.1;63.449;5.6;2.316;17.209;2.23;6.935;1.69;2.233;4.963;16.817;3.456;46;6;2;4;79.69
44.134;35.26;4.88;2.212;14.405;1.735;5.438;1.268;0;2.195;1.961;1.166;27;8;2;4;46.327
21.082;15.369;5.23;2.702;3.049;.4;2.212;0;.05;.975;.636;.115;62;8;3;1;30.58
43.494;31.702;5.32;3.998;14.807;.66;0;.488;0;4.019;.676;1.734;62;8;2;2;61.21
20.504;13.846;4.78;1.229;5.096;0;0;0;0;0;.8;1.941;86;10;6;1;0
56.731;32.127;2.76;1.21;12.912;.33;0;.11;.35;4.771;6.927;2.757;44;7;3;3;34.642
113.197;71.25;9.572;4.241;19.17;2.95;3.506;3.583;.225;10.043;8.306;9.654;39;6;2;3;143.11
67.288;51.284;5.33;3.207;19.222;.305;2.547;1.14;7.843;3.131;5.086;3.473;55;7;2;3;92.028
36.929;29.233;3.113;1.308;13.264;0;2.04;7.375;.014;.28;.704;1.135;65;10;6;2;0
26.636;19.586;2.028;3.185;10.63;0;0;.31;0;0;1.874;1.559;67;10;6;2;0
65.387;52.218;4.625;2.446;17.839;7.998;6.679;1.693;.297;3.48;3.878;3.283;37;7;2;3;73.782
37.696;60.015;4.463;4.242;12.768;3.28;5.053;3.863;.307;4.781;6.696;14.562;56;6;2;2;58.04
64.531;54.88;6.995;5.522;18.157;2.415;0;2.445;1.845;11.338;1.822;4.341;25;6;2;4;73.97
33.749;27.364;7.482;2.687;8.329;0;0;1.602;.447;1.17;3.624;2.023;28;11;9;3;0
