"NIC" "TEX" "HOU" "FUE" "FOO" "ALC" "TOB" "CLO" "DUR" "TRA" "SER" "OGM" "AGE" "OCC" "ECP" "NOP" "NGW"
"150" 78.88 72.92 12.91 3.481 20.696 10.203 4.868 4.04 6.335 1.595 4.274 4.518 33 6 2 4 100.27
"151" 128.009 85.394 9.341 5.854 23.3 1.185 0.85 6.89 0.111 28.397 7.436 2.03 57 1 2 3 167.318
"152" 16.035 72.2 7.481 2.827 13.304 3.783 4.83 6.093 2.136 24.142 1.246 6.358 28 6 3 4 40.715
"153" 83.662 81.932 7.579 3.462 25.255 10.85 0.15 16.25 0 16.202 2.009 0.175 34 6 2 1 106.58
"154" 79.074 156.048 13.71 4.539 24.019 5.925 4.106 8.095 66.898 2.034 10.652 16.07 55 7 2 2 105.724
"155" 80.473 51.669 4.437 0.744 13.436 3.105 0 1.17 0 26.196 1.541 1.04 77 11 8 3 73.67
"156" 30.301 32.14 3.829 3.474 11.847 0 0 0 0.754 0 5.829 6.407 67 10 6 2 0
"157" 58.613 55.069 6.23 2.502 12.89 6.9 7.596 0 0.08 6.086 9.821 2.964 63 7 10 2 51.88
"158" 53.173 33.672 5.135 2.001 10.643 4.82 0 5.25 1.354 0.93 1.937 1.602 78 11 8 2 48.41
"159" 51.727 49.211 11.803 5.013 11.744 0 0 0 10.045 5.656 2.235 2.715 62 6 4 2 61.155
"160" 21.558 19.371 5.55 3.589 5.763 0 0 1.13 0 0.48 1.721 1.138 61 7 3 1 2.308
"161" 73.274 64.568 6.377 4.599 11.79 1.355 2.4 0.45 1.583 26.718 3.668 5.628 61 6 2 2 94
"162" 49.795 59.177 7.698 4.204 18.1 2.85 0 2.573 3.269 16.223 0.801 3.459 31 6 2 4 66.94
"163" 46.026 29.902 7.075 4.952 8.913 0 0 0 0.138 0 1.595 7.229 74 10 6 2 0
"164" 50.254 39.675 8.25 2.093 12.628 0.88 0 0.125 0.571 10.842 3.236 1.05 62 11 8 2 48.634
"165" 66.966 64.936 7.594 2.064 13.516 2.86 1.285 4.413 0.571 20.793 6.762 5.078 30 6 2 3 94.72
"166" 34.31 44.927 5.86 6.126 18.547 0.84 4.328 0.075 5.403 0.44 1.492 1.816 53 11 9 3 3.75
"167" 49.51 42.569 6.649 3.162 14.619 1.26 0 2.169 0.797 10.391 1.841 1.681 27 6 2 4 56.45
"168" 47.746 65.791 13.688 4.014 13.877 0 0 5.495 21.083 2.802 1.562 3.27 36 6 2 3 61.85
"169" 75.563 52.584 12.186 5.218 20.253 0.82 0 1.885 1.352 5.922 2.812 2.136 35 2 1 4 0
"170" 89.756 47.366 9.232 1.188 10.937 0.82 0 0.75 3.765 2.905 14.241 3.528 61 7 2 2 109.816
"171" 66.151 72.218 6.46 7.215 19.256 3.575 0 2.885 1.722 13.036 13.769 4.3 29 1 2 4 83.32
"172" 16.039 27.386 2.075 0.699 3.868 0 0 0.34 19.025 0.45 0.814 0.115 71 10 6 1 0
"173" 15.318 11.751 1.497 1.292 5.198 0 0 0.875 1.56 0.13 0.729 0.47 78 10 6 1 0
"174" 40.498 28.844 3.77 1.908 9.712 0 1.735 0 3.45 1.992 3.692 2.585 53 4 2 2 51.029
"175" 44.221 53.374 6.73 5.053 12.908 6.705 5.348 8.537 0.39 2.089 1.91 3.704 23 4 10 2 27.74
"176" 66.953 40.156 7.283 3.066 11.426 2.65 3.846 1.98 0.858 4.84 2.578 1.629 31 6 2 4 78.79
"177" 23.26 18.831 1.72 1.521 8.047 0.98 0.96 0 0 1.24 2.124 2.239 71 10 6 2 0
"178" 71.672 38.535 8.027 2.143 11.529 0 0 0.634 2.344 6.996 5.904 0.958 44 6 2 4 80.078
"179" 17.77 11.931 4.07 1.202 3.866 1.19 0 0 0.029 0.04 1.144 0.39 69 10 6 1 0
"180" 19.06 20.571 4.81 1.654 5.987 0.495 0 3.99 0.245 0.48 1.539 1.371 75 10 6 1 0
"181" 52.725 68.546 34.691 3.396 12.903 4.015 2.495 3.39 0.104 2.599 2.538 2.415 27 6 2 4 62.415
"182" 80.573 97.765 4.74 4.043 23.85 8.985 7.781 10.159 0.112 25.174 6.476 6.445 43 6 2 3 109.748
"183" 68.66 52.82 5.82 5.379 13.677 6.93 2.212 3.417 2.788 4.66 4.293 3.644 47 7 3 3 87.81
"184" 111.374 43.452 6.282 2.646 13.697 4.07 0 0.5 0.202 8.649 2.106 5.3 58 6 2 3 146.125
"185" 54.221 41.755 5.985 2.898 12.712 2.755 3.39 4.995 0.68 0.48 5.012 2.848 73 10 6 2 0
"186" 92.053 130.815 7.302 2.812 15.618 0 0 9.675 1.946 38.491 10.143 44.828 63 2 10 2 114.783
"187" 48.663 38.722 7.423 3.127 9.605 0 0 6.59 0.077 4.66 3.327 3.913 49 6 2 2 59.43
"188" 57.337 59.598 7.34 5 17.85 4.248 0 6.545 0.932 9.805 2.913 4.965 43 7 2 5 66.937
"189" 70.148 65.311 7.34 5 16.746 9.455 5.333 6.965 1.76 6.97 4.035 1.707 53 7 2 2 94.21
"190" 36.168 51.454 4.4 2.95 8.487 3.124 4.848 7.5 1.337 8.571 5.67 4.567 30 6 10 2 14.822
"191" 56.68 49.66 6.41 4.554 12.857 7.32 5.875 4.57 1.03 1.36 3.316 2.368 39 6 2 3 69.7
"192" 81.872 71.986 7.856 3.681 11.768 1.095 0 20.39 0.077 22.794 2.362 1.963 32 6 2 2 95.88
"193" 38.199 32.513 7.567 2.523 2.726 0 0 0 0.192 0.47 2.315 16.72 57 11 9 1 0
"194" 61.231 60.728 7.11 5.122 18.669 2.975 0 8.57 1.482 4.335 4.476 7.989 45 6 2 4 70.8
"195" 20.29 18.235 6.44 2.5 4.613 1.27 1.168 0.105 0 1.24 0.724 0.175 67 11 8 1 0
"196" 57.858 42.608 2.42 2.222 10.092 0 6.317 0 12.115 3.322 2.803 3.317 55 7 2 2 82.64
"197" 62.355 33.451 6.295 2.112 12.193 0 0 0.2 0.527 6.005 3.541 2.578 46 6 2 3 57.227
"198" 99.968 96.63 4.634 2.777 23.57 3.455 1.779 21.69 2.837 28.669 3.887 3.332 44 7 2 6 95.63
"199" 20.36 14.133 6.1 3 3.309 0 0 0 0.129 0 0.25 1.345 76 10 6 1 0
"200" 17.268 10.704 2.796 1.359 4.857 0 0 0 0.038 0 1.204 0.45 83 11 8 1 0
"201" 67.95 77.205 2.87 2.112 14.058 9.725 7.59 18.435 4.935 3.49 3.731 10.259 56 6 2 2 90.52
"202" 85.926 74.218 10.883 4.334 17.965 0.625 7.822 1.925 3.283 11.546 4.39 11.445 35 1 2 4 106.538
"203" 74.661 38.653 2.995 4.325 13.969 0.655 1.32 2.993 2.56 2.944 4.771 2.121 25 1 2 2 99.48
"204" 47.548 39.29 3.36 3.571 12.625 5.835 2.42 1.375 0.2 2.76 3.349 3.795 56 8 2 2 56.076
"205" 40.287 35.958 1.936 5.37 12.16 1.75 0.682 0.593 1.766 3.24 0.578 7.883 22 6 2 2 50.5
"206" 76.604 56.788 2.551 2.278 14.135 2.88 0 1 20.308 3.442 4.701 5.493 59 6 2 3 104.84
"207" 34.73 45.159 0.55 2.305 13.666 6.885 5.994 3.005 3.323 2.15 3.027 4.254 33 7 10 5 33.48
"208" 77.538 49.104 9.202 0.864 16.015 5.645 7.235 0.815 0.19 1.008 4.614 3.516 30 1 1 2 68.368
"209" 160.713 119.512 16.718 2.849 22.143 1.315 0.9 6.475 0.456 40.253 20.667 7.736 45 3 3 4 186.141
"210" 50.956 78.519 4.55 2.005 15.126 0 3.962 4.245 3.115 40.823 2.77 1.923 60 6 4 2 67.663
"211" 63.529 53.869 7.452 2.718 13.32 0.101 0 1.887 1.246 18.912 3.152 5.081 52 6 2 4 65.977
"212" 84.777 54.515 3.9 5.121 14.613 6.225 2.378 1.87 2.85 3.051 9.434 5.073 51 7 3 3 105.587
"213" 63.868 55.721 2.807 3.048 11.676 12.058 2.041 14.495 1.091 0.9 5.177 2.428 28 6 2 2 86.85
"214" 78.672 92.167 4.315 5.092 24.115 0.725 1.58 11.756 6.154 22.391 4.146 11.893 52 6 2 3 120.28
"215" 101.819 67.952 10.755 1.379 23.63 1.71 0.19 0.475 0.808 12.196 11.104 5.705 45 3 2 4 106.154
"216" 141.634 107.251 2.336 6.112 26.308 15.285 19.987 3.48 2.5 11.319 14.831 5.093 51 7 2 6 140.51
"217" 37.917 57.05 1.758 4.416 15.416 2.415 7.413 11.735 3.4 3.53 2.366 4.601 33 6 4 4 45.34
"218" 26.01 26.362 4.034 2.978 8.622 2.625 1.565 0.45 0.096 1.059 2.168 2.765 65 10 6 2 0
"219" 37.558 69.432 4.651 1.706 11.712 4.23 1.975 0 41.308 0.395 1.484 1.971 75 10 6 2 0
"220" 57.283 64.652 5.508 3.274 20.039 4.983 5.875 13.285 2.277 1.725 2.79 4.896 31 6 2 4 75.94
"221" 88.284 40.222 8.842 3.292 6.356 4.93 7.743 4.725 0.415 0.144 2.472 1.303 62 2 2 2 117.618
"222" 83.991 95.593 1.73 1.215 14.382 4.905 1.02 2.971 0.029 62.837 2.435 4.069 65 10 6 3 70.846
"223" 39.99 35.584 1.546 1.376 16.999 1.74 3.347 2.205 1.528 2.32 1.362 3.161 27 6 2 4 53.6
"224" 35.958 27.172 2.102 1.745 10.171 0 0 0 0.048 8.593 1.687 2.826 71 8 3 2 16.25
"225" 21.91 23.549 2.243 1.415 9.496 1.735 1.268 2.75 1.75 0.22 1.726 0.946 70 10 6 2 0
"226" 58.763 58.253 7.417 3.26 14.623 2.525 0.21 6.67 0.267 16.418 4.678 2.185 36 4 2 4 65.17
