"NIC" "TEX" "HOU" "FUE" "FOO" "ALC" "TOB" "CLO" "DUR" "TRA" "SER" "OGM" "AGE" "OCC" "ECP" "NOP" "NGW"
"1" 66.559 86.267 4.013 2.298 18.372 11.32 0 28.74 3.884 13.329 1.566 2.745 21 6 2 2 96.52
"2" 54.231 23.792 4.894 2.55 3.093 8.93 2.465 0 0 0 0.982 0.878 31 8 10 1 58
"3" 43.336 28.04 4.29 1.203 9.162 4.935 3.453 1.945 0 1.2 0.819 1.033 77 7 3 2 38.48
"4" 36.657 29.004 5.427 1.75 6.712 2.455 5.95 0.85 0 2.38 1.769 1.711 64 6 2 1 53.92
"5" 19.83 21.13 5.327 3.7 6.92 0 2.17 0 0.89 0 0.983 1.14 83 11 8 1 0
"6" 130.976 91.349 7.26 3.139 35.554 4.5 3.024 21.164 0.077 6.54 3.098 6.993 42 6 2 8 160.037
"7" 33.67 36.318 8.335 2.6 16.585 1.875 0 0.225 0.5 0 3.825 2.373 75 10 6 3 0
"8" 29 24.525 6.654 2.2 8.378 1.8 2.631 0.125 0.31 0 0.817 1.61 66 10 6 2 0
"9" 91.35 52.12 7.008 2.048 18.702 0 0 2.578 4.296 11.149 0.346 5.993 42 1 2 4 114.215
"10" 57.572 40.743 2.08 1.052 7.102 15.563 1.686 0 4.676 3.52 3.774 1.29 52 6 2 2 88.3
"11" 81.143 63.639 6.418 2.205 14.415 1.87 5.663 9.145 2.89 11.484 3.572 5.977 46 4 2 3 92.404
"12" 44.763 31.887 6.158 3.1 7.312 0 0 0 1.223 5.456 7.202 1.436 20 6 2 2 32.51
"13" 49.269 37.919 4.77 0.626 2.397 13.205 7 0 0.077 8.88 0.504 0.46 54 6 2 1 66.34
"14" 78.983 57.68 2.83 1.135 12.786 4.36 0.49 4.288 5.955 20.893 1.298 3.645 23 6 2 2 107.043
"15" 32.265 22.189 1.63 1.085 10.788 2.469 2.05 1.25 0.995 0 0.354 1.568 75 10 6 2 0
"16" 53.903 52.406 3.688 1.608 18.351 5.985 7.144 1.32 1.526 3.28 4.018 5.486 26 6 2 4 72.08
"17" 39.057 36.957 6.009 2.135 12.214 3.63 4.058 0 0.593 2.146 3.734 2.438 64 6 2 2 61.84
"18" 18.81 11.415 3.64 3.231 3.49 0 0 0 0 0 0.529 0.525 79 10 6 1 0
"19" 26.474 25.751 1.5 6.171 8.211 0.15 0.8 0.15 4.613 0 1.051 3.105 75 10 6 2 0
"20" 75.595 57.842 5.682 2.08 22.427 9.48 5.035 0.85 1.376 3.295 2.92 4.697 38 8 2 4 110
"21" 112.683 181.013 16.713 4.502 26.341 10.35 1.95 13.04 3.347 46.22 50.822 7.728 53 2 2 3 145.117
"22" 98.942 105.577 10.285 1.3 22.612 3.05 0 24.385 1.018 9.328 29.341 4.258 37 1 1 5 0
"23" 110.705 979.417 9.039 19.053 10.428 6.94 0.248 900.115 2.434 25.641 3.214 2.305 61 2 2 3 140.43
"24" 34.524 38.928 7.65 2.283 10.082 0.57 0 9.52 0.577 2.853 1.122 4.271 74 10 6 2 0
"25" 51.514 34.999 6.115 2.975 7.79 12.225 0 0 0 3.285 1.576 1.033 20 6 4 1 67.285
"26" 18.74 13.647 4.481 2.174 3.94 0 1.92 0 0.12 0 0.719 0.293 73 10 6 1 0
"27" 110.532 81.493 6.308 1.46 26.602 2 7.32 4.56 15.391 6.537 0.638 10.677 54 6 10 6 32.83
"28" 57.157 46.768 4.412 5.239 16.31 4.448 6.918 0.765 1.362 2.46 2.403 2.451 35 8 2 4 52.53
"29" 94.074 83.995 14.144 3.81 15.8 0.52 6.268 26.585 1.68 4.14 5.468 5.58 55 1 2 2 126.327
"30" 99.721 111.432 5.638 15.121 27.428 3.965 7.911 0.735 26.824 10.345 0.586 12.879 46 2 2 3 130.038
"31" 60.399 39.603 6.26 5 11.907 3.82 5.389 0.15 2.782 0.88 2.026 1.389 32 6 4 5 68.73
"32" 28.52 49.624 6.231 3.235 15.34 10.273 4.839 2.025 3.925 0.345 1.914 1.497 57 11 9 2 61.26
"33" 273.708 101.455 6.21 8.332 19.254 0.06 0 3.443 15.362 32.174 13.745 2.875 49 7 2 6 82.66
"34" 75.068 68.653 5.779 7.195 23.715 5.54 3.598 6.021 3.13 5.6 5.652 2.423 62 6 4 3 87.6
"35" 15.592 15.762 1.11 3.512 5.379 0.53 0 0.655 0.864 0.615 1.584 1.513 79 11 8 1 0
"36" 91.69 154.928 4.619 2.409 14.603 0.26 0 0.11 126.147 3.291 1.278 2.211 31 2 1 2 18.686
"37" 30.121 24.504 4.523 0.862 9.344 0 2.8 2.995 0.096 0.44 1.074 2.37 63 11 9 2 0
"38" 74.76 54.204 8.447 3.094 15.601 0.83 0 4.485 6.134 7.655 3.502 4.456 40 6 2 4 87.895
"39" 66.559 73.379 10.133 3.253 13.116 0 0 10.97 0.233 7.577 26.515 1.582 32 1 2 4 75.275
"40" 138.99 78.893 14.288 3.923 19.884 0 0 3.08 2.192 16.312 11.384 7.83 43 3 3 6 160.673
"41" 54.55 38.579 9.42 3.174 8.125 0.51 2.64 0 5.259 6.143 1.432 1.876 41 1 2 1 68.238
"42" 80.254 56.015 11.244 2.317 11.886 0 0 8.02 3.439 2.787 10.226 6.096 36 4 2 4 85.098
"43" 56.697 67.595 17.224 3.51 13.221 1.445 0 7.495 0.23 13.053 4.709 6.708 31 2 2 4 62.29
"44" 104.059 59.946 10.775 2.602 22.096 0.37 7.542 1.266 0 7.469 2.771 5.055 44 1 2 5 123.84
"45" 55.663 34.557 9.996 3.923 10.539 0 0 0.36 0.072 0 7.914 1.753 72 10 6 2 0
"46" 53.07 43.424 6.615 1.296 17.483 4.345 2.751 4.818 0.5 2.105 2.361 1.15 34 6 2 4 71.21
"47" 18.38 23.58 2.077 1.441 6.986 0 0 0.38 9.629 0.6 1.529 0.938 63 7 3 1 5
"48" 102.049 71.79 11.501 3.351 15.009 1.795 0 4.433 0.69 28.81 4.116 2.085 60 2 2 2 137.499
"49" 81.784 76.864 20.46 6.205 14 1.59 0 2.425 6.412 6.614 3.698 15.46 30 7 2 4 92.258
"50" 127.989 151.593 9.372 7.7 42.598 13.625 0 15.35 0.645 21.346 18.052 22.905 43 2 2 5 155.027
"51" 49.57 38.116 4.23 3.538 13.292 0 6.522 1.25 1.325 0.44 4.181 3.338 44 6 2 5 59.66
"52" 50.309 42.545 3.314 3.668 17.151 1.095 0.316 8.64 0.038 0.36 4.658 3.305 49 6 2 3 66.89
"53" 38.541 29.132 4.345 6.568 8.324 1.865 1.12 1.125 0 0.445 3.155 2.185 49 7 2 2 27.16
"54" 18.474 17.38 5.335 1.977 3.263 2.1 2.436 0 0.1 0.466 1.088 0.615 63 10 7 1 0
"55" 111.356 58.906 9.378 5.677 13.645 10.695 6 5.785 0.15 1.095 4.943 1.538 50 4 2 3 159.99
"56" 21.204 13.095 4.523 3.102 3.058 0 0.355 0 0 0 1.529 0.528 80 11 8 1 0
"57" 70.309 36.021 2.948 1.641 10.698 2.415 0.943 1.638 3.778 5.112 3.528 3.32 25 7 2 2 94.508
"58" 64.693 57.689 5.011 3.107 13.313 0 0 28.44 0.135 0.06 3.471 4.152 56 2 2 2 86.296
"59" 76.956 65.965 6.27 6.873 27.131 3.25 3.218 6.616 0 10.072 1.25 1.285 31 6 2 7 69.3
"60" 90.39 69.179 5.805 7.817 23.726 0 4.29 3.75 0.096 17.715 4.384 1.596 47 7 2 5 81.7
"61" 19.78 11.042 4.27 2.587 2.81 0 0.4 0 0 0 0.575 0.4 77 10 6 1 0
"62" 33.983 78.569 9.809 7.366 19.667 0.35 2.19 15.07 4.23 1.062 6.561 12.264 40 11 9 3 0
"63" 20.38 14.904 6.03 4.341 3.419 0 0 0 0 0 0.804 0.31 69 10 6 1 0
"64" 49.333 35.808 5.81 2.261 12.688 4.575 0 1.155 0 2.984 4.191 2.144 25 6 2 4 59.51
"65" 15.45 14.898 5.19 1 5.9 0 0.901 0.65 0 0.23 0.514 0.513 52 8 10 1 0
"66" 15.588 10.063 0.32 1.058 6.273 0 0 0.06 0.662 0 0.627 1.063 82 11 8 1 0
"67" 61.437 47.501 8.326 2.077 12.768 0 0 6.039 4.444 7.004 4.392 2.451 27 1 2 4 69.23
"68" 36.65 33.846 5.23 1.153 8.259 5.185 3.9 5.55 0 2.78 0.496 1.293 47 8 2 1 55.65
"69" 33.06 23.51 5.26 0.832 10.884 1.493 1.86 0.2 0.08 0.14 1.168 1.593 76 11 8 2 0
"70" 72.401 65.733 8.43 6.992 17.72 0 2.535 4.135 4.028 7.959 6.006 7.928 58 4 4 2 96.916
"71" 109.709 108.656 7.91 3.587 36.744 13.683 2.818 16.212 7.905 5.179 7.192 7.426 43 7 2 5 142.42
"72" 75.99 55.361 8.046 4.409 19.172 0.5 1.784 1.465 2.385 11.26 3.246 3.094 30 6 2 4 86.88
"73" 57.425 46.85 7.91 2.529 15.834 1.865 5.095 6.8 2.234 0.294 2.563 1.726 36 2 2 4 46.153
"74" 35.503 24.944 6.91 1.654 8.289 1.08 2.504 0 0.24 0.715 2.542 1.01 74 11 8 2 0
"75" 78.459 81.253 3.241 7.098 9.721 1.75 3.142 4.51 31.643 15.581 2.094 2.473 35 6 2 2 104.879
"76" 58.076 42.749 2.185 4.413 13.667 11.251 2.352 0.501 2.593 2.935 0.35 2.502 21 7 2 2 75.33
"77" 43.007 48.05 2.761 8.456 22.907 0.56 0 2.856 1.69 2.37 1.296 5.154 28 6 2 4 51.396
"78" 79.71 53.012 2.657 3.882 15.723 1.435 4.308 16.635 0.115 0 2.134 6.123 42 2 4 2 104.828
"79" 44.231 40.196 4.316 3.159 13.13 3.25 3.404 2.009 4.678 0.48 2.234 3.536 53 7 2 2 44.283
"80" 27 22.446 6.02 7.29 7.147 0 0 0 0 0.12 0.704 1.165 67 11 8 2 0
"81" 19.23 18.381 6.563 3.345 6.188 0 0 0 0.058 0.15 0.654 1.423 60 11 8 1 0
"82" 80.17 73.985 5.215 6.082 30.289 5.655 5.986 0.8 6.069 5.805 3.521 4.563 57 6 2 3 99
"83" 45.378 39.131 9.5 4.615 10.119 1.413 4.39 2.286 0.734 1.011 1.576 3.487 29 1 2 3 51.625
"84" 68.188 44.085 9.717 4.181 6.777 1.32 0 5.317 0.296 11.245 3.622 1.61 32 3 3 3 75.001
"85" 85.312 72.866 13.521 4.887 20.481 0 0 6.173 4.14 13.069 5.644 4.951 38 1 2 5 103.27
"86" 17.783 14.399 2.445 2.244 6.107 0 0 0.655 0.038 0.93 1.575 0.405 66 10 6 1 0
"87" 106.651 82.83 6.93 3.087 20.21 9.422 0 4.525 6.782 23.642 4.076 4.156 44 4 2 4 138.128
"88" 101.509 53.592 12.776 3.923 19.389 7.68 1.465 0 3.551 0.669 1.669 2.47 31 2 2 2 127.811
"89" 16.24 10.358 1.19 3.745 2.385 0.2 0.939 0 0.08 0 0.849 0.97 94 10 6 1 0
"90" 52.095 41.469 6.174 1.796 11.406 5.22 0 0 0.665 11.278 3.319 1.611 57 8 2 2 47.95
"91" 72.503 59.407 4.655 1.121 21.043 4.165 5.986 7.575 0.058 8.74 2.185 3.879 54 7 2 5 74.956
"92" 21.868 23.323 3.424 3.65 7.478 0.63 2.095 0.67 0.178 1.08 2.074 2.044 56 5 3 1 8.25
"93" 74.137 64.91 1.5 0.866 12.351 14.146 2.54 8.396 3.456 8.908 5.258 7.489 25 6 2 2 118.498
"94" 68.589 80.103 4.359 7.865 22.167 0 8.12 10.087 10.451 11.589 3.168 2.297 39 7 2 5 73.785
"95" 44.952 29.192 3.828 3.078 11.601 0 1.623 0.143 0.277 3.642 3.28 1.72 88 10 6 3 0
"96" 79.652 60.08 4.763 3.586 17.787 3.51 2.195 2.613 9.247 12.287 1.108 2.984 57 6 2 3 97.62
"97" 98.871 66.978 5.104 3.709 18.365 19.31 2.73 4.626 8.595 0.3 2.246 1.993 56 1 2 3 93.173
"98" 88.184 41.92 5.127 6.545 13.109 3.94 3.465 0.22 4.004 0.019 2.993 2.498 55 2 2 2 101.346
"99" 35.611 18.158 6.095 0.905 4.191 0 0 0 0.029 5.927 0.431 0.58 77 10 6 2 0
"100" 103.25 117.857 6.081 5.787 17.06 3.613 1.345 5.885 2.822 68.704 3.641 2.919 54 4 2 3 129.652
"101" 98.904 100.3 4.276 4.14 33.463 7.728 4.365 12.705 4.263 12.129 7.4 9.831 48 8 10 7 68.604
"102" 16.26 15.588 2.374 1.256 7.903 0 0 0 0.375 0.36 1.777 1.543 74 11 8 1 0
"103" 33.698 16.179 4.752 0.3 0 0 3.402 0 0.029 7.542 0.154 0 54 7 2 1 41.78
"104" 51.881 40.805 5.44 4.752 13.113 2 4.817 0.32 0.144 7.06 0.771 2.388 36 6 2 6 65.59
"105" 78.249 60.871 5.371 4.686 22.033 9.885 1.615 3.455 0.143 7.253 4.313 2.117 46 7 2 4 105.052
"106" 128.894 91.551 17.382 8.235 32.07 0.525 0 6.81 2.44 4.807 14.825 4.457 52 4 2 4 161.804
"107" 98.503 119.1 3.441 6.395 21.327 13.1 7.41 2.375 0.3 29.665 24.252 10.835 50 2 2 2 126.865
"108" 63.226 146.222 8.524 1.679 9.344 0.5 3.13 1.56 93.42 19.741 3.268 5.056 54 6 2 2 71.16
"109" 15.583 12.844 1.592 4.912 3.176 0 0 0 0.12 0.68 1.726 0.638 75 10 6 1 0
"110" 149.251 136.991 18.038 7.915 23.877 15.44 8.237 9.94 22.738 19.817 4.174 6.815 51 6 2 6 202.16
"111" 37.54 34.487 5.141 3.174 9.258 0 0 0.805 0.221 11.315 3.158 1.415 60 7 2 2 50.45
"112" 56.904 65.071 5.167 2.895 12.437 5.5 0 5.125 0 14.051 4.712 15.184 31 6 2 5 76.04
"113" 109.623 114.496 4.215 1.251 17.177 0 5.3 0.3 55.937 20.617 5.233 4.466 66 1 1 3 89.193
"114" 62.888 41.48 7.854 3.361 8.727 0.74 0 2.355 3.565 11.269 1.55 2.059 29 6 2 4 84.88
"115" 16.93 14.031 2.965 5.881 2.889 0 0 0 0.072 0 1.719 0.505 84 11 8 1 0
"116" 37.729 29.919 1.586 4.258 13.964 0.75 1.33 1.225 0.223 3.501 0.673 2.409 69 2 1 2 0
"117" 120.684 130.987 27.389 3.054 22.748 6.66 5.482 11.98 29.441 8.282 5.887 10.064 37 2 2 2 82.645
"118" 22.067 16.548 2.955 1.687 4.506 0 1.525 0 0.096 4.591 0.154 1.034 28 7 2 2 24.588
"119" 42.872 42.966 3.55 5.153 14.575 3.88 2.885 0 2.096 3.247 4.964 2.616 32 6 2 5 62.08
"120" 18.362 16.297 4.2 4.047 3.52 0 0 2.5 0.638 0 0.154 1.238 71 11 8 1 0
"121" 35.184 42.629 12.756 2.717 10.22 0 0 1.85 8.117 0 3.86 3.109 66 2 2 1 16.5
"122" 178.677 45.125 5.26 2.008 18.754 0.39 0 0.955 6.217 4.447 3.823 3.271 70 10 6 3 0
"123" 74.474 43.31 8.533 3.002 11.112 0 1.278 1.02 0.481 6.744 2.427 8.713 63 1 1 2 44.24
"124" 74.281 29.921 1.229 1.511 6.803 0 0 0 0.263 18.793 0.717 0.605 49 2 1 2 11.538
"125" 62.968 45.138 2.093 3.334 16.33 8.582 0 1.088 1.422 1.125 3.561 7.603 36 7 2 5 72.72
"126" 22.97 15.495 3.54 2.496 6.273 0 0 0.6 0.114 0.165 1.547 0.76 66 10 6 1 0
"127" 42.35 31.871 6.97 3.283 12.609 0 0 2.45 1.475 0.69 2.514 1.88 61 11 8 3 25.39
"128" 44 26.237 5.77 3.249 10.493 0.346 2.015 0.585 0 1.85 0.654 1.275 60 11 9 2 0
"129" 50.977 43.159 8.74 2.759 19.037 0.11 5.162 0.75 1.894 0.1 2.266 2.341 36 7 2 6 62.62
"130" 54.3 12.596 4.86 2.111 4.466 0 0 0 0 0.1 0.899 0.16 42 6 4 1 55.18
"131" 38.69 28.284 6.26 4.8 5.527 3 1 3.665 0 0.3 1.504 2.228 47 6 2 1 47.24
"132" 32.07 25.827 6.192 1.323 6.711 0 2.49 2.76 0.225 2.225 1.129 2.772 57 8 3 1 21.24
"133" 130.912 20.349 6.753 3.023 3.43 0 0 0 1.336 1.696 3.801 0.31 44 7 2 6 157.83
"134" 114.66 28.283 2.375 3.429 11.656 0.77 4.685 0.575 0.708 0.605 2.09 1.39 24 6 2 3 157.65
"135" 93.085 80.827 5.663 6.246 31.877 15.085 3.22 6.745 1 8.232 0.559 2.2 42 6 2 7 127.53
"136" 88.915 64.333 5.55 5.538 17.617 11.522 8.886 2.875 0.14 7.614 2.754 1.837 47 6 10 4 75.67
"137" 20.714 17.691 3.125 1.872 6.575 0.645 0 0.52 0.26 0.3 2.079 2.315 60 10 6 1 0
"138" 65.669 56.127 8.068 2.91 15.892 4.461 1.594 3.095 2.475 5.047 9.81 2.775 23 7 2 2 72.71
"139" 60.867 43.614 4.058 2.844 14.292 5.015 4.266 0.62 0 1.726 8.371 2.422 31 6 2 3 79.11
"140" 43.62 39.538 2.9 1.647 13.892 0 5.145 5.47 0.482 1.754 4.492 3.756 52 11 9 2 33
"141" 72.729 52.836 6.56 2.051 15.23 1.485 0 10.811 6.043 7.301 1.984 1.371 36 6 1 2 20.44
"142" 48.916 47.81 6.869 3.287 13.463 1.9 0 9.5 4.166 2.548 4.355 1.722 29 4 2 3 55.696
"143" 83.995 53.201 7.093 1.495 19.443 6.237 8.77 0.24 3.529 1.454 2.924 2.016 53 4 2 2 105.807
"144" 43.665 51.294 7.624 3.088 14.789 1.825 2.92 3.488 9.297 5.207 1.559 1.497 22 1 2 3 49.466
"145" 73.316 62.65 8.371 1.269 19.894 1.52 0.2 0 6.901 13.52 5.518 5.457 35 6 2 4 117.286
"146" 18.438 15.917 6.805 1.225 3.63 0 0 0 0.132 2.193 1.517 0.415 72 10 6 1 0
"147" 22.12 19.942 7.432 3.95 3.656 0 0 0.2 0.06 0.325 1.723 2.596 61 10 6 1 0
"148" 62.01 44.584 5.69 2.18 16.104 1.03 5.251 3.42 3.584 1.25 3.311 2.764 35 6 2 4 47.56
"149" 38.212 23.605 6.102 2.318 8.569 0 0 0.125 1.465 0.27 2.63 2.126 75 6 3 2 13.85
